label,nb_events_culture,titres_events_culture,tarif_transport_etudiant,source
La Courneuve,1,OuVERTures / Pulcinella / Battle Baroque,31.2,Imagine R - Île-de-France Mobilités
La Garde,2,"Ateliers Théâtre - Le Conte d’Hiver - Initiation à la scène, à la marionnette et au clown, Sortie de Résidence autour du Conte d'Hiver de Shakespeare",Indisponible,Non renseignée
La Garenne-Colombes,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
La Madeleine,0,Aucun événement recensé,Indisponible,Non renseignée
La Possession,0,Aucun événement recensé,Indisponible,Non renseignée
La Roche-sur-Yon,9,"La Roche dessous, Causette en goguette aux Tablées d’Été, Nous, les héros - Nuit de la Grande Sortie, L'événement, P'art-âge ton quartier  (du partage, des arts et des habitants de tout âge)",Indisponible,Non renseignée
La Rochelle,1,Conter en corps et encore !,Indisponible,Non renseignée
La Seyne-sur-Mer,4,"Artmacadam - Quand les fenêtres Mur Mur, Rêve Lune - Harp'Eho !, Rêve Lune - Merci nos aînés, Rêve Lune - Une aventure de Titin le lutin",Indisponible,Non renseignée
La Teste-de-Buch,5,"Stages de cirque au Komonò Circus, Festival Teste à Têtes, Les éclaireurs de Gascogne au Komonò Circus, Les déambulations cirque du Komonò, Le CEA Cesta au Komonò Circus",Indisponible,Non renseignée
La Valette-du-Var,0,Aucun événement recensé,Indisponible,Non renseignée
Lagny-sur-Marne,2,"L’Été culturel Des livres à soi, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Lambersart,0,Aucun événement recensé,Indisponible,Non renseignée
Lanester,0,Aucun événement recensé,Indisponible,Non renseignée
Lannion,0,Aucun événement recensé,Indisponible,Non renseignée
Laon,0,Aucun événement recensé,Indisponible,Non renseignée
Laval,1,L'Été culturel Des livres à soi,Indisponible,Non renseignée
Le Blanc-Mesnil,3,"Les rendez-vous du parc Les quatre tours Blanc-Mesnil, Les rendez-vous du parc le blanc mesnil, Rendez-vous du parc au quartier Bournonville Blanc-Mesnil",31.2,Imagine R - Île-de-France Mobilités
Le Bouscat,0,Aucun événement recensé,Indisponible,Non renseignée
Le Cannet,0,Aucun événement recensé,Indisponible,Non renseignée
Le Chesnay-Rocquencourt,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Le Creusot,1,La Caravane des Arts au Creusot,Indisponible,Non renseignée
Le Gosier,0,Aucun événement recensé,Indisponible,Non renseignée
Le Grand-Quevilly,0,Aucun événement recensé,Indisponible,Non renseignée
Le Havre,38,"Concert de Mind Watcher pour les Rendez-vous d'Arthur d'été, Atelier créatif ""magnets"" (7-10 ans), Concert de Lemon Far East pour les Rendez-vous d'Arthur d'été, Concert des musiciens de Saint-Julien pour les Rendez-vous d'Arthur d'été, Concert : Amedyez chante la Méditerranée pour les Rendez-vous d'Arthur d'été",Indisponible,Non renseignée
Le Kremlin-Bicêtre,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Le Lamentin,0,Aucun événement recensé,Indisponible,Non renseignée
Le Mans,5,"La Caravane du Plongeoir au parc de Tessé, ""Donner voix au Voyage"" - Stage / création, rendez-vous contes de l'été, La Caravane du Plongeoir aux Sablons, La Caravane du Plongeoir au parc de l'Épine",Indisponible,Non renseignée
Le Mont-Dore,0,Aucun événement recensé,Indisponible,Non renseignée
Le Moule,0,Aucun événement recensé,Indisponible,Non renseignée
Le Perreux-sur-Marne,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Le Petit-Quevilly,0,Aucun événement recensé,Indisponible,Non renseignée
Le Plessis-Robinson,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Le Plessis-Trévise,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Le Port,0,Aucun événement recensé,Indisponible,Non renseignée
Le Robert,0,Aucun événement recensé,Indisponible,Non renseignée
Le Tampon,0,Aucun événement recensé,Indisponible,Non renseignée
Lens,1,Atelier création collective de podcast,Indisponible,Non renseignée
Les Abymes,0,Aucun événement recensé,Indisponible,Non renseignée
Les Lilas,3,"L'été culturel et radiophonique 2024 de *Duuu : Les Yeux Élastiques, Spectacle participatif BOUM! / Collectif ussé inné",31.2,Imagine R - Île-de-France Mobilités
Les Mureaux,1,Concert Jardinal,31.2,Imagine R - Île-de-France Mobilités
Les Pavillons-sous-Bois,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Les Pennes-Mirabeau,0,Aucun événement recensé,Indisponible,Non renseignée
Les Sables-d'Olonne,0,Aucun événement recensé,Indisponible,Non renseignée
Les Ulis,9,"Terrasse du Radazik - Concert Samira Brahmia, Cinéma en plein air - Film à définir, Cinéma en plein air - Mon Voisin Totoro, Terrasse du Radazik - Concert Miguel Gomez Orquesta, Terrasse du Radazik - Concert Jahkasa",31.2,Imagine R - Île-de-France Mobilités
Levallois-Perret,2,"Inauguration de l'exposition collaborative de l'été, Pique-nique urbain et DJ set avec Floriane Facchini & Cie",31.2,Imagine R - Île-de-France Mobilités
Libourne,0,Aucun événement recensé,Indisponible,Non renseignée
Lille,4,"Festival Microtopies 2024, Atelier - Décor exquis, Projection plein air - L’été animé des enfants, Un été créatif - Initiation Graff et Fresque participative",Indisponible,Non renseignée
Limeil-Brévannes,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Limoges,4,"Comme une envie de danser le sport, Atelier théâtre et sport",Indisponible,Non renseignée
Lingolsheim,0,Aucun événement recensé,Indisponible,Non renseignée
Livry-Gargan,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Liévin,0,Aucun événement recensé,Indisponible,Non renseignée
Longjumeau,2,"Une histoire de Carmen, l'arabo-andalouse, La Parade Olympique des Habitants",31.2,Imagine R - Île-de-France Mobilités
Loos,0,Aucun événement recensé,Indisponible,Non renseignée
Lorient,0,Aucun événement recensé,Indisponible,Non renseignée
Lormont,1,"Atelier : Après l'effort, le réconfort !",Indisponible,Non renseignée
Lunel,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Lyon,27,"Spectacle ""Les Reveur-euses"", Diversions, BABEL RADIO LIVE, L'atelier des motifs - peinture et gommettes, Atelier Cuisine graphique",25.0,TCL
Maisons-Alfort,2,"les rendez-vous du parc Maisons-Alfort les juiliottes, Les rendez-vous du parc Maisons-alfort",31.2,Imagine R - Île-de-France Mobilités
Maisons-Laffitte,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Malakoff,12,"Youtube club - atelier, Fabriquer son pain, Agora avec shed publishing et Shela Sheikh, Restitution résidence du collectif Adventices, Concert acoustique dans le cadre de ""Pelouse Secousses""",31.2,Imagine R - Île-de-France Mobilités
Mamoudzou,0,Aucun événement recensé,Indisponible,Non renseignée
Mandelieu-la-Napoule,0,Aucun événement recensé,Indisponible,Non renseignée
Manosque,1,L'Été culturel Des livres à soi,Indisponible,Non renseignée
Mantes-la-Jolie,11,"Atelier théâtre-clown - Ma ville rêvée, Clôture du Plein Été - Passage secret, Atelier arts plastique-danse-théâtre-musique-vidéo - Jolie’s Objets !, Laboratoire Déviation - Visite imaginaire de Mantes-la-Jolie, L’Été culturel Des livres à soi",31.2,Imagine R - Île-de-France Mobilités
Mantes-la-Ville,12,"Journée Culture, Exposition photo sur bâche, Diffusion court-métrage sur les JO, Stage Théâtre avec Théâtre aux éclats création, Atelier chorale et danse avec les centres de loisirs",31.2,Imagine R - Île-de-France Mobilités
Marcq-en-Barœul,0,Aucun événement recensé,Indisponible,Non renseignée
Marignane,0,Aucun événement recensé,Indisponible,Non renseignée
Marseille,34,"Danse autour de la création ""Dans la chambre de ma Grand-Mère"", Ateliers Cinématographiques Film flamme-Polygone étoilé, Métamorphoses - Atelier de création en danse, Mylène Lamugnière - Kelemenis&cie L'art du sport, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Margot Dusé & Flavie Loreau",Indisponible,Non renseignée
Martigues,0,Aucun événement recensé,Indisponible,Non renseignée
Massy,15,"Atelier sports sciences, Concert Jardinal, L'Abécédaire sportif et décalé, L’Été culturel Des livres à soi, Art, sport et photographie",31.2,Imagine R - Île-de-France Mobilités
Matoury,1,Atelier de danse hip-hop et krump,Indisponible,Non renseignée
Maubeuge,0,Aucun événement recensé,Indisponible,Non renseignée
Meaux,1,Projet photographique « Cartophote »,31.2,Imagine R - Île-de-France Mobilités
Melun,2,"Résonances Musicales | Quatuor Wassily au Centre de détention de Melun, Ateliers participatifs en archéologie, Centre social La Boussole",31.2,Imagine R - Île-de-France Mobilités
Menton,0,Aucun événement recensé,Indisponible,Non renseignée
Metz,3,"Olympiade Culturelle - La Pop Parade - Parade nautique exceptionnelle, Jeunes ESTivants 2024 - Julie Chevassut ""La vie, le souvenir, la plongée, le récit"" & l'association Octave Cowbell, Olympiade culturelle - Elévation",Indisponible,Non renseignée
Meudon,5,"Les ateliers d'Eté de La Source Garouste - Des Brillants - Atelier Textile, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, Les ateliers d'Eté de La Source Garouste - Des Brillants - Atelier Sculpture, Les ateliers d'Eté de La Source Garouste - Des Brillants - Atelier Modelage",31.2,Imagine R - Île-de-France Mobilités
Meyzieu,0,Aucun événement recensé,Indisponible,Non renseignée
Millau,0,Aucun événement recensé,Indisponible,Non renseignée
Miramas,5,"Cosmologie et mosaïque, MIRAMAS AUX RYTHMES DU KENYA - Été culturel / Résidence en Territoire, Sortie de résidence Winyo et Edward Kamau, La tête dans les étoiles, Restitution - Résidence MIRAMAS
AUX RYTHMES DU KENYA",Indisponible,Non renseignée
Mitry-Mory,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Mons-en-Barœul,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Mont-Saint-Aignan,0,Aucun événement recensé,Indisponible,Non renseignée
Mont-de-Marsan,0,Aucun événement recensé,Indisponible,Non renseignée
Montaigu-Vendée,0,Aucun événement recensé,Indisponible,Non renseignée
Montauban,0,Aucun événement recensé,Indisponible,Non renseignée
Montbéliard,0,Aucun événement recensé,Indisponible,Non renseignée
Montereau-Fault-Yonne,26,"Fête de la Pomme et des saveurs, Concert de l'Harmonie Royale d'Avelgem (Belgique), Zic'o Kiosque : BRS Band, Dimanche au Kiosque : Tony Calves, Concert Cuarteto Cubano",31.2,Imagine R - Île-de-France Mobilités
Montfermeil,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Montgeron,2,"Doubles Jeux #03 (Sport et Cinéma en Essonne) – The Grandmaster de Wong Kar-wai - Soirée Avant-Match (Cinéma et Kung Fu), L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Montigny-le-Bretonneux,5,"Les artistes dans notre ville, Danse et équilibre en duo - Été en Sable x Ateliers, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, La danse fait ses jeux! Under Construction, version étendue - Une déambulation dansée.",31.2,Imagine R - Île-de-France Mobilités
Montigny-lès-Cormeilles,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Montigny-lès-Metz,0,Aucun événement recensé,Indisponible,Non renseignée
Montluçon,1,#BVL24,Indisponible,Non renseignée
Montmorency,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Montpellier,2,L’Été culturel Des livres à soi,Gratuit,Site officiel de Montpellier
Montreuil,25,"Moments suspendus - Atelier Après le sport, le cyanotype”, Roforofo Summer Camp : concert à la Maison de quartier Esperanto de Montreuil, Écouter sans les yeux - Lina Schlageter, Écouter sans les yeux - Carla Adra, Écouter sans les yeux - Liv Schulman",31.2,Imagine R - Île-de-France Mobilités
Montrouge,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Montélimar,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Morsang-sur-Orge,8,"Biblio'cycle, Spectacle « Top Chrono », À vos manettes !, Témoignage - conférence « Sport et Handicap »",31.2,Imagine R - Île-de-France Mobilités
Mulhouse,3,"Jeunes ESTivants 2024 - Jane Bidet ""Le Sport un art, en mouvement en rythmes"" & l'Espace Matisse, L’Été culturel Des livres à soi, Atelier Art visuel ""Cartes postales""",Indisponible,Non renseignée
Muret,0,Aucun événement recensé,Indisponible,Non renseignée
Mâcon,0,Aucun événement recensé,Indisponible,Non renseignée
Mérignac,1,Ateliers Nuit des Etoiles,Indisponible,Non renseignée
Nancy,4,"Jeunes ESTivants 2024 - Résidence ENSAD Nancy #5 & la Médiathèque du Haut-du-Lièvre à Nancy, Quartiers d'été - Le Memô, Jeunes ESTivants 2024 - Résidence ENSAD Nancy #1 & Museum-Aquarium de Nancy, Jeunes ESTivants 2024 - Résidence ENSAD Nancy #2 & Musée de l'Ecole de Nancy",Indisponible,Non renseignée
Nanterre,56,"La tête dans nos nuages, Atelier d'expression corporelle et plastique « Corps et espace urbain », OuVERTures / Pulcinella / Le Grand Feu, OuVERTures / TM+ / Rhythm Labyrinth, L'été de tous les sports",31.2,Imagine R - Île-de-France Mobilités
Nantes,37,"BREAKING LOCO, Fanfare d'enfants pour l'arrivée des bateaux, Rendez-vous aux pataugeoires, Projet participatif Ici Maintenant performance et atelier, Spectacle Bretelle et Garance",Indisponible,Non renseignée
Narbonne,1,Papel'Arts - Ateliers Artistiques et Scientifiques,Indisponible,Non renseignée
Neuilly-Plaisance,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Neuilly-sur-Marne,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Neuilly-sur-Seine,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Nevers,0,Aucun événement recensé,Indisponible,Non renseignée
Nice,15,"Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Louise Gendry, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Bastienne Waultier, Atelier artistique autour du corps, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Nicole Demichelis, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Caroline Vergote - - Coudournac",Indisponible,Non renseignée
Niort,0,Aucun événement recensé,Indisponible,Non renseignée
Nogent-sur-Marne,1,Sonorisation d'archives de l'INSEP,31.2,Imagine R - Île-de-France Mobilités
Nogent-sur-Oise,0,Aucun événement recensé,Indisponible,Non renseignée
Noisy-le-Grand,1,L’Été culturel Des livres à soi,31.2,Imagine R - Île-de-France Mobilités
Noisy-le-Sec,3,"Les Rendez-vous du parc, Terre, air, feu : Atelier « oriflamme », Spectacle Cheb in Situ / Filipe Lourenço",31.2,Imagine R - Île-de-France Mobilités
Nouméa,0,Aucun événement recensé,Indisponible,Non renseignée
Nîmes,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Olivet,0,Aucun événement recensé,Indisponible,Non renseignée
Orange,0,Aucun événement recensé,Indisponible,Non renseignée
Orly,1,L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé,31.2,Imagine R - Île-de-France Mobilités
Orléans,1,"Intervention ""Escapade culturelle dans les jardins""",Indisponible,Non renseignée
Orvault,1,Spectacle Bretelle et Garance,Indisponible,Non renseignée
Oullins-Pierre-Bénite,0,Aucun événement recensé,Indisponible,Non renseignée
Oyonnax,0,Aucun événement recensé,Indisponible,Non renseignée
Ozoir-la-Ferrière,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Palaiseau,1,CAMINI / Arte In Giru,31.2,Imagine R - Île-de-France Mobilités
Pantin,4,"Résonances Musicales | Concert du Quatuor Galilée à (Re)trouvailles, Un été hors les murs - Artagon Pantin, performance de l'artiste Joseph Schiano di Lombo, Un été hors les murs - Artagon Pantin, performance de l'artiste Nefeli Papadimouli, Juste un fil - Mourad Merzouki, Académie Fratellini",31.2,Imagine R - Île-de-France Mobilités
Papeete,0,Aucun événement recensé,Indisponible,Non renseignée
Paris,217,"Croisière Jonglée, Bal Swing, Cours de Zumba – Siddy Leal, Cours de Pilates Booty – Julie Pujols-Benoit, Cours de Gym Suédoise – Swedish Fit",31.2,Imagine R - Île-de-France Mobilités
Pau,2,"Prenez-en de la graine !, Le Grand Banquet Berlioz",Indisponible,Non renseignée
Païta,0,Aucun événement recensé,Indisponible,Non renseignée
Perpignan,1,Découverte de la culture catalane/ Festival Rumba Na Ma,Indisponible,Non renseignée
Pessac,0,Aucun événement recensé,Indisponible,Non renseignée
Petit-Bourg,0,Aucun événement recensé,Indisponible,Non renseignée
Plaisance-du-Touch,0,Aucun événement recensé,Indisponible,Non renseignée
Plaisir,10,"Danse et équilibre en duo, Cinéma en plein air - Astérix & Obélix, l'empire du milieu, Stage de danse hip-hop, Archéo'Vacances : « Les fouilles paléolithiques », La danse fait ses jeux! Under Construction, version étendue - Une déambulation dansée du Valibout au Château de Plaisir.",31.2,Imagine R - Île-de-France Mobilités
Poissy,21,"La Lumop en mode estival, Atelier d'illustration - Lionel Serre
Invente un sport pour les prochains JO, Un été culturel à Poissy : la Fête du jeu, Passage de la Flamme Olympique : Kiosque Culture, Passage de la Flamme Olympique : Animation Live-painting",31.2,Imagine R - Île-de-France Mobilités
Poitiers,3,"Musicaltruisme, La Grand'Goule en vadrouille : entre créatures... et créations !",Indisponible,Non renseignée
Pontault-Combault,7,"Connivences - Pass' Dans la Rue, Zig Zag - Pass' Dans la Rue, Projet Photographique « Cartophote », Seul.e.s, Pont'Ô Summer Dance 2024",31.2,Imagine R - Île-de-France Mobilités
Pontoise,14,"Spectacle « Rec.on(struction) », Spectacle de cirque ""Objectif Vegas"", Spectacle de cirque, Olympia • Cie Pôle K, Diambar",31.2,Imagine R - Île-de-France Mobilités
Punaauia,0,Aucun événement recensé,Indisponible,Non renseignée
Puteaux,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Périgueux,0,Aucun événement recensé,Indisponible,Non renseignée
Quimper,0,Aucun événement recensé,Indisponible,Non renseignée
Rambouillet,4,"Les voyages du mercredi, Sortie culturelle : Spectacle ""Les Touristes""",31.2,Imagine R - Île-de-France Mobilités
Reims,13,"Kermesses Circassiennes, Jeunes ESTivants 2024 - Camille Meyer et Pauline Morel ""To be continued"" & La Boussole, Jeunes ESTivants 2024 - Collectif Toter Winkel ""De l'autre côté, le monde"" & Le Jardin Parallèle, Partir en Livre 2024 - Atelier Carapaces à plumes - Gaëlle Allart, Partir en Livre 2024 - Atelier Poésie Typolino - Noémie Mahieux",Indisponible,Non renseignée
Remire-Montjoly,0,Aucun événement recensé,Indisponible,Non renseignée
Rennes,8,"Stages théâtre, la Cérémonie d'ouverture, ESCALES BAROQUES - Sonates Violon et clavecin, ESCALES BAROQUES - À la cour de Louis XIV, Coup d'envoi des Olympiades du Banquet Céleste",18.92,STAR
Rezé,2,"Atelier + Spectacle Bretelle et Garance, Ateliers immersifs ""La Boît'à Sieste""",Indisponible,Non renseignée
Rillieux-la-Pape,1,"Spectacle ""Les Reveur-euses""",Indisponible,Non renseignée
Ris-Orangis,4,"Ris en Seine 2ème édition / Culture 360, Roforofo Summer Camp : concert au Festival Ris en Seine, Ris en Seine (2ème édition), Palc au Plateau",31.2,Imagine R - Île-de-France Mobilités
Roanne,1,Graines d'Artistes 2024,Indisponible,Non renseignée
Rochefort,1,"""Murmures d'éveilleurs""",Indisponible,Non renseignée
Rodez,0,Aucun événement recensé,Indisponible,Non renseignée
Roissy-en-Brie,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Romainville,2,"Le 9.3 prend ses Grands Airs !, Terre, air, feu : Atelier « oriflamme »",31.2,Imagine R - Île-de-France Mobilités
Romans-sur-Isère,1,Récital Bel Canto a Napoli,Indisponible,Non renseignée
Rosny-sous-Bois,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Roubaix,1,"Atelier de collecte de souvenirs ""D'ici et de là bas""",Indisponible,Non renseignée
Rouen,12,"Résidence Soudain l'été prochain : Charlotte Attal, Atelier créatif ""Se raconter, se rencontrer"", Lecture musicale, portraits croqués et dédicace avec Eva Chatelain, Atelier créatif ""Au fil de l'encre"", Atelier créatif : ""Illustrons ces rencontres""",Indisponible,Non renseignée
Rueil-Malmaison,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saint-André,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Benoît,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Brieuc,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Chamond,1,Itinérance Théâtrale Loire 2024,Indisponible,Non renseignée
Saint-Cloud,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saint-Cyr-l'École,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saint-Denis,3,"Spectacle de cirque ""Passages"", L’Été culturel Des livres à soi, Spectacle ""Signatures""",31.2,Imagine R - Île-de-France Mobilités
Saint-Denis,3,"Spectacle de cirque ""Passages"", L’Été culturel Des livres à soi, Spectacle ""Signatures""",Indisponible,Non renseignée
Saint-Denis,3,"Spectacle de cirque ""Passages"", L’Été culturel Des livres à soi, Spectacle ""Signatures""",31.2,Imagine R - Île-de-France Mobilités
Saint-Denis,3,"Spectacle de cirque ""Passages"", L’Été culturel Des livres à soi, Spectacle ""Signatures""",Indisponible,Non renseignée
Saint-Dizier,2,"Jeunes ESTivants 2024 - Shama Andrea Visini ""Dans la mémoire des chimères""  & la commune de Saint-Dizier, La Fabrique du livre jeunesse #5_Atelier avec Lène Mordin",Indisponible,Non renseignée
Saint-Genis-Laval,1,Atelier de Cerf-volant : fabrication et de manipulation,Indisponible,Non renseignée
Saint-Germain-en-Laye,42,"Storytime for kids in english, Les belles lectures du Bel-Air plage, Atelier Flocage, Atelier écharpe de supporter, Pop Dance",31.2,Imagine R - Île-de-France Mobilités
Saint-Gratien,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saint-Herblain,2,"Joueuses : Théâtre football Club, Stage de slam féminin : Raconte ta life !",Indisponible,Non renseignée
Saint-Jean-de-Braye,2,"Intervention ""Escapade culturelle dans les jardins"", Ateliers Créatifs",Indisponible,Non renseignée
Saint-Joseph,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Laurent-du-Maroni,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Laurent-du-Var,3,"Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Capucine De Warren, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Léon Nullans, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Claire Bouffay",Indisponible,Non renseignée
Saint-Leu,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Louis,1,"Jeunes ESTivants 2024 - Cie Sept heures d'avance ""La Métamorphose"" & Ecluse 12",Indisponible,Non renseignée
Saint-Louis,1,"Jeunes ESTivants 2024 - Cie Sept heures d'avance ""La Métamorphose"" & Ecluse 12",Indisponible,Non renseignée
Saint-Louis,1,"Jeunes ESTivants 2024 - Cie Sept heures d'avance ""La Métamorphose"" & Ecluse 12",Indisponible,Non renseignée
Saint-Louis,1,"Jeunes ESTivants 2024 - Cie Sept heures d'avance ""La Métamorphose"" & Ecluse 12",Indisponible,Non renseignée
Saint-Malo,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Mandé,1,Écouter sans les yeux - Mélanie Blaison,31.2,Imagine R - Île-de-France Mobilités
Saint-Martin,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Martin-d'Hères,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Maur-des-Fossés,1,Quartier-fictions,31.2,Imagine R - Île-de-France Mobilités
Saint-Michel-sur-Orge,7,"Témoignage - conférence « Sport et handicap », Lectures, Retransmission des épreuves des Jeux Paralympiques de Paris 2024, Tournoi « Just Dance », Retransmission des épreuves des Jeux Olympiques de Paris 2024",31.2,Imagine R - Île-de-France Mobilités
Saint-Médard-en-Jalles,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Nazaire,12,"Ateliers La Source, Circothèque itinérante à la MQ de Méan Penhoet de Saint-Nazaire, ATELIER ""Micro-architectures"" avec Danny Steve, Circothèque et Spectacle FAIS COMME L'OISEAU à la maison de quartier d'Avalix pour hop hop hop, ATELIER “ Fresque murale “ avec Anna Picco",Indisponible,Non renseignée
Saint-Ouen-l'Aumône,8,"Auto-studio, Spectacle de cirque « To Bee Queen » de la compagnie La Butineuse, Spectacle de cirque « Noss Noss », Spectacle de cirque « Vertiges » de la compagnie Amare, Nosfell",31.2,Imagine R - Île-de-France Mobilités
Saint-Ouen-sur-Seine,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saint-Paul,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Pierre,0,Aucun événement recensé,25.0,Wikipedia-Alternéo
Saint-Priest,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Quentin,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Raphaël,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Sébastien-sur-Loire,0,Aucun événement recensé,Indisponible,Non renseignée
Saint-Étienne,3,"Fabrique Collective Compagnie litécox, Festival Faire l'été #5, Itinérance Théâtrale Loire 2024",Indisponible,Non renseignée
Saint-Étienne-du-Rouvray,0,Aucun événement recensé,Indisponible,Non renseignée
Sainte-Anne,0,Aucun événement recensé,Indisponible,Non renseignée
Sainte-Foy-lès-Lyon,0,Aucun événement recensé,Indisponible,Non renseignée
Sainte-Geneviève-des-Bois,8,"Championnat du monde d'aquatisme - Cie La Bugne, Ateliers Collage street art, Lectures hors les murs, Culture 360 au Aggl'Olympics, Atelier ""Plongeurs""",31.2,Imagine R - Île-de-France Mobilités
Sainte-Marie,0,Aucun événement recensé,Indisponible,Non renseignée
Sainte-Suzanne,0,Aucun événement recensé,Indisponible,Non renseignée
Saintes,3,"LA PLAINE EN FETE, Inauguration ""Le Logis des artistes"", Ateliers musicaux ""Le Logis des artistes""",Indisponible,Non renseignée
Salon-de-Provence,2,"Art en Mouvement, Atelier Patrouille de France en EPhad",Indisponible,Non renseignée
Sannois,2,"CONCERT DE DANYL, Martine Patine",31.2,Imagine R - Île-de-France Mobilités
Sarcelles,10,"Atelier théâtre intergénérationnel : prendre racine, Installation interactive : Largo très lent et ample, Visite du jardin pédagogique de Sarcelles, Festival « Les PolyKromies de Sarcelles », Contes au jardin: le conteur est dans le pré",31.2,Imagine R - Île-de-France Mobilités
Sarreguemines,1,La Fabrique du livre jeunesse #5_Rencontre avec Inky,Indisponible,Non renseignée
Sartrouville,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Saumur,4,"Troglotrott, Pétillant pique-nique, Apéro concert, Journées du Patrimoine chez Gratien & Meyer",Indisponible,Non renseignée
Savigny-le-Temple,4,"L'Estivale - Spectacle-nomade, Paerish + Oakman + Two Trains Left, Ayron Jones + Kristel, Apéro Metal Final #14 : Black Bomb A + Dagara + Despite The End + Kptn N3mo + Ogma",31.2,Imagine R - Île-de-France Mobilités
Savigny-sur-Orge,8,"Stage de création lumière et vidéo projection, Découverte du Théâtre, Concert Rap Alternatif - Keytan - NR - Kofi, Art et Nature, Capsule Estivale à Grand Vaux",31.2,Imagine R - Île-de-France Mobilités
Sceaux,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Schiltigheim,0,Aucun événement recensé,Indisponible,Non renseignée
Sens,0,Aucun événement recensé,Indisponible,Non renseignée
Sevran,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Six-Fours-les-Plages,1,Kokerboom - Qui est-ce sous ma peau ?,Indisponible,Non renseignée
Soissons,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
