label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Roanne,42187,12.3,1768,8841,Montagne,"Industrie, Recherche"
Rochefort,17299,13.4,1159,5797,Océanique,"Agroalimentaire, Vin"
Rodez,12202,13.0,1206,6034,Ensoleillée,"Aérospatial, Santé"
Roissy-en-Brie,77390,25.7,1176,5880,Tempérée,"Finance, Luxe, Santé"
Romainville,93063,25.7,1765,8828,Tempérée,"Finance, Luxe, Santé"
Romans-sur-Isère,26281,12.3,1656,8284,Montagne,"Industrie, Recherche"
Rosny-sous-Bois,93064,25.7,2297,11486,Tempérée,"Finance, Luxe, Santé"
Roubaix,59512,10.5,4975,24876,Froide,"Logistique, Commerce"
Rouen,76540,9.3,5816,29082,Océanique,"Agro, Maritime"
Rueil-Malmaison,92063,25.7,4042,20210,Tempérée,"Finance, Luxe, Santé"
Saint-André,97409,12.0,2877,14386,Tempérée,"Services, Commerce"
Saint-Benoît,97410,12.0,1879,9396,Tempérée,"Services, Commerce"
Saint-Brieuc,22278,11.2,2230,11151,Océanique,"Numérique, Éducation"
Saint-Chamond,42207,12.3,1779,8896,Montagne,"Industrie, Recherche"
Saint-Cloud,92064,25.7,1492,7464,Tempérée,"Finance, Luxe, Santé"
Saint-Cyr-l'École,78545,25.7,1022,5112,Tempérée,"Finance, Luxe, Santé"
Saint-Denis,97411,25.7,5761,28809,Tempérée,"Finance, Luxe, Santé"
Saint-Denis,97411,12.0,7807,39037,Tempérée,"Services, Commerce"
Saint-Dizier,52448,11.5,1140,5702,Froide,"Énergie, Industrie"
Saint-Genis-Laval,69204,12.3,1066,5332,Montagne,"Industrie, Recherche"
Saint-Germain-en-Laye,78551,25.7,2264,11321,Tempérée,"Finance, Luxe, Santé"
Saint-Gratien,95555,25.7,1064,5324,Tempérée,"Finance, Luxe, Santé"
Saint-Herblain,44162,11.9,2528,12640,Océanique,"Naval, Agro"
Saint-Jean-de-Braye,45284,10.2,1104,5522,Tempérée,"Agro, Pharmaceutique"
Saint-Joseph,97412,12.0,1949,9748,Tempérée,"Services, Commerce"
Saint-Laurent-du-Maroni,97311,12.0,2586,12933,Tempérée,"Services, Commerce"
Saint-Laurent-du-Var,06123,14.6,1582,7911,Ensoleillée,"Tourisme, Santé"
Saint-Leu,97413,12.0,1779,8899,Tempérée,"Services, Commerce"
Saint-Louis,97414,12.0,2723,13619,Tempérée,"Services, Commerce"
Saint-Louis,97414,11.5,1126,5632,Froide,"Énergie, Industrie"
Saint-Malo,35288,11.2,2362,11813,Océanique,"Numérique, Éducation"
Saint-Mandé,94067,25.7,1061,5305,Tempérée,"Finance, Luxe, Santé"
Saint-Martin,03246,12.0,1597,7987,Tempérée,"Services, Commerce"
Saint-Martin-d'Hères,38421,12.3,1901,9505,Montagne,"Industrie, Recherche"
Saint-Maur-des-Fossés,94068,25.7,3800,19002,Tempérée,"Finance, Luxe, Santé"
Saint-Michel-sur-Orge,91570,25.7,1076,5384,Tempérée,"Finance, Luxe, Santé"
Saint-Médard-en-Jalles,33449,13.4,1637,8187,Océanique,"Agroalimentaire, Vin"
Saint-Nazaire,44184,11.9,3655,18277,Océanique,"Naval, Agro"
Saint-Ouen-l'Aumône,95572,25.7,1280,6403,Tempérée,"Finance, Luxe, Santé"
Saint-Ouen-sur-Seine,93070,25.7,2652,13260,Tempérée,"Finance, Luxe, Santé"
Saint-Paul,97415,12.0,5311,26555,Tempérée,"Services, Commerce"
Saint-Pierre,97416,12.0,4262,21313,Tempérée,"Services, Commerce"
Saint-Priest,69290,12.3,2459,12298,Montagne,"Industrie, Recherche"
Saint-Quentin,02691,10.5,2649,13248,Froide,"Logistique, Commerce"
Saint-Raphaël,83118,14.6,1831,9158,Ensoleillée,"Tourisme, Santé"
Saint-Sébastien-sur-Loire,44190,11.9,1418,7093,Océanique,"Naval, Agro"
Saint-Étienne,42218,12.3,8628,43142,Montagne,"Industrie, Recherche"
Saint-Étienne-du-Rouvray,76575,9.3,1432,7163,Océanique,"Agro, Maritime"
Sainte-Anne,97128,12.0,1220,6103,Tempérée,"Services, Commerce"
Sainte-Foy-lès-Lyon,69202,12.3,1094,5473,Montagne,"Industrie, Recherche"
Sainte-Geneviève-des-Bois,91549,25.7,1785,8928,Tempérée,"Finance, Luxe, Santé"
Sainte-Marie,97418,12.0,1779,8896,Tempérée,"Services, Commerce"
Sainte-Suzanne,97420,12.0,1242,6213,Tempérée,"Services, Commerce"
Saintes,17415,13.4,1265,6328,Océanique,"Agroalimentaire, Vin"
Salon-de-Provence,13103,14.6,2227,11138,Ensoleillée,"Tourisme, Santé"
Sannois,95582,25.7,1338,6693,Tempérée,"Finance, Luxe, Santé"
Sarcelles,95585,25.7,2928,14644,Tempérée,"Finance, Luxe, Santé"
Sarreguemines,57631,11.5,1016,5081,Froide,"Énergie, Industrie"
Sartrouville,78586,25.7,2578,12892,Tempérée,"Finance, Luxe, Santé"
Saumur,49328,11.9,1303,6518,Océanique,"Naval, Agro"
Savigny-le-Temple,77445,25.7,1531,7657,Tempérée,"Finance, Luxe, Santé"
Savigny-sur-Orge,91589,25.7,1888,9443,Tempérée,"Finance, Luxe, Santé"
Sceaux,92071,25.7,1037,5185,Tempérée,"Finance, Luxe, Santé"
Schiltigheim,67447,11.5,1719,8595,Froide,"Énergie, Industrie"
Sens,89387,10.4,1363,6818,Tempérée,"Agro, Mécanique"
Sevran,93071,25.7,2582,12910,Tempérée,"Finance, Luxe, Santé"
Six-Fours-les-Plages,83129,14.6,1842,9210,Ensoleillée,"Tourisme, Santé"
Soissons,02722,10.5,1433,7166,Froide,"Logistique, Commerce"
Sotteville-lès-Rouen,76681,9.3,1451,7259,Océanique,"Agro, Maritime"
Stains,93072,25.7,2030,10150,Tempérée,"Finance, Luxe, Santé"
Strasbourg,67482,11.5,14585,72927,Froide,"Énergie, Industrie"
Sucy-en-Brie,94071,25.7,1379,6898,Tempérée,"Finance, Luxe, Santé"
Suresnes,92073,25.7,2446,12233,Tempérée,"Finance, Luxe, Santé"
Sète,34301,13.0,2254,11272,Ensoleillée,"Aérospatial, Santé"
Sèvremoine,49301,11.9,1288,6441,Océanique,"Naval, Agro"
Sèvres,92072,25.7,1139,5695,Tempérée,"Finance, Luxe, Santé"
Talence,33522,13.4,2293,11467,Océanique,"Agroalimentaire, Vin"
Tarbes,65440,13.0,2226,11132,Ensoleillée,"Aérospatial, Santé"
Tassin-la-Demi-Lune,69244,12.3,1140,5704,Montagne,"Industrie, Recherche"
Taverny,95607,25.7,1353,6766,Tempérée,"Finance, Luxe, Santé"
Thiais,94073,25.7,1600,8001,Tempérée,"Finance, Luxe, Santé"
Thionville,57672,11.5,2138,10694,Froide,"Énergie, Industrie"
Thonon-les-Bains,74281,12.3,1884,9422,Montagne,"Industrie, Recherche"
Torcy,77468,25.7,1146,5734,Tempérée,"Finance, Luxe, Santé"
Toulon,83137,14.6,9041,45208,Ensoleillée,"Tourisme, Santé"
Toulouse,31555,13.0,25584,127921,Ensoleillée,"Aérospatial, Santé"
Tourcoing,59599,10.5,4958,24790,Froide,"Logistique, Commerce"
Tournefeuille,31557,13.0,1486,7431,Ensoleillée,"Aérospatial, Santé"
Tours,37261,10.2,6933,34667,Tempérée,"Agro, Pharmaceutique"
Trappes,78621,25.7,1713,8569,Tempérée,"Finance, Luxe, Santé"
Tremblay-en-France,93073,25.7,1910,9552,Tempérée,"Finance, Luxe, Santé"
Troyes,10387,11.5,3122,15610,Froide,"Énergie, Industrie"
Valence,26362,12.3,3214,16072,Montagne,"Industrie, Recherche"
Valenciennes,59606,10.5,2148,10744,Froide,"Logistique, Commerce"
Vallauris,06155,14.6,1428,7144,Ensoleillée,"Tourisme, Santé"
Vandœuvre-lès-Nancy,54547,11.5,1484,7424,Froide,"Énergie, Industrie"
Vannes,56260,11.2,2747,13738,Océanique,"Numérique, Éducation"
Vanves,92075,25.7,1425,7126,Tempérée,"Finance, Luxe, Santé"
Vaulx-en-Velin,69256,12.3,2622,13112,Montagne,"Industrie, Recherche"
Vernon,27681,9.3,1242,6210,Océanique,"Agro, Maritime"
Versailles,78646,25.7,4195,20979,Tempérée,"Finance, Luxe, Santé"
Vertou,44215,11.9,1302,6512,Océanique,"Naval, Agro"
Vichy,03310,12.3,1285,6425,Montagne,"Industrie, Recherche"
Vienne,38544,12.3,1577,7888,Montagne,"Industrie, Recherche"
Vierzon,18279,10.2,1262,6313,Tempérée,"Agro, Pharmaceutique"
Vigneux-sur-Seine,91657,25.7,1561,7808,Tempérée,"Finance, Luxe, Santé"
Villefranche-sur-Saône,69264,12.3,1811,9056,Montagne,"Industrie, Recherche"
Villejuif,94076,25.7,2907,14535,Tempérée,"Finance, Luxe, Santé"
Villemomble,93077,25.7,1498,7493,Tempérée,"Finance, Luxe, Santé"
Villenave-d'Ornon,33550,13.4,2109,10546,Océanique,"Agroalimentaire, Vin"
Villeneuve-Saint-Georges,94078,25.7,1808,9042,Tempérée,"Finance, Luxe, Santé"
Villeneuve-d'Ascq,59009,10.5,3117,15585,Froide,"Logistique, Commerce"
Villeneuve-la-Garenne,92078,25.7,1278,6391,Tempérée,"Finance, Luxe, Santé"
Villeneuve-le-Roi,94077,25.7,1043,5217,Tempérée,"Finance, Luxe, Santé"
Villeneuve-sur-Lot,47323,13.4,1100,5501,Océanique,"Agroalimentaire, Vin"
Villeparisis,77514,25.7,1339,6698,Tempérée,"Finance, Luxe, Santé"
Villepinte,93078,25.7,1982,9911,Tempérée,"Finance, Luxe, Santé"
Villeurbanne,69266,12.3,8110,40551,Montagne,"Industrie, Recherche"
Villiers-le-Bel,95680,25.7,1461,7309,Tempérée,"Finance, Luxe, Santé"
Villiers-sur-Marne,94079,25.7,1627,8136,Tempérée,"Finance, Luxe, Santé"
Vincennes,94080,25.7,2418,12092,Tempérée,"Finance, Luxe, Santé"
Viry-Châtillon,91687,25.7,1555,7778,Tempérée,"Finance, Luxe, Santé"
Vitrolles,13117,14.6,1830,9153,Ensoleillée,"Tourisme, Santé"
Vitry-sur-Seine,94081,25.7,4764,23820,Tempérée,"Finance, Luxe, Santé"
Voiron,38563,12.3,1080,5401,Montagne,"Industrie, Recherche"
Vélizy-Villacoublay,78640,25.7,1124,5620,Tempérée,"Finance, Luxe, Santé"
Vénissieux,69259,12.3,3335,16675,Montagne,"Industrie, Recherche"
Wasquehal,59646,10.5,1033,5168,Froide,"Logistique, Commerce"
Wattrelos,59650,10.5,2044,10220,Froide,"Logistique, Commerce"
Yerres,91691,25.7,1417,7087,Tempérée,"Finance, Luxe, Santé"
Échirolles,38151,12.3,1835,9177,Montagne,"Industrie, Recherche"
Élancourt,78208,25.7,1317,6587,Tempérée,"Finance, Luxe, Santé"
Épernay,51230,11.5,1101,5505,Froide,"Énergie, Industrie"
Épinal,88160,11.5,1614,8074,Froide,"Énergie, Industrie"
Épinay-sur-Seine,93031,25.7,2678,13391,Tempérée,"Finance, Luxe, Santé"
Étampes,91223,25.7,1330,6650,Tempérée,"Finance, Luxe, Santé"
Évreux,27229,9.3,2416,12083,Océanique,"Agro, Maritime"
Évry-Courcouronnes,91228,25.7,3335,16675,Tempérée,"Finance, Luxe, Santé"
